id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
cumberland-land-trust-ri	https://findalandtrust.org/land-trusts/explore/cumberland-land-trust-ri	Cumberland Land Trust	Cumberland Land Trust	PO Box 8011	Cumberland	RI	02864-0611	347	Providence	Yes	10		200	10	1990	Public Access|Volunteer Opportunities
pine-creek-land-conservation-trust-pa	https://findalandtrust.org/land-trusts/explore/pine-creek-land-conservation-trust-pa	Pine Creek Land Conservation Trust	Pine Creek Land Conservation Trust	PO Box 123	Wildwood	PA	15091-0123	38	Allegheny	Yes	4		62	50	1993	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
hollow-oak-land-trust-pa	https://findalandtrust.org/land-trusts/explore/hollow-oak-land-trust-pa	Hollow Oak Land Trust	Hollow Oak Land Trust	PO Box 741	Coraopolis	PA	15108-0741	678	Allegheny, Beaver	Yes	13	1	250	300	1991	Public Access|Volunteer Opportunities
essex-county-greenbelt-association-ma	https://findalandtrust.org/land-trusts/explore/essex-county-greenbelt-association-ma	Essex County Greenbelt Association	Essex County Greenbelt Association	PO Box 1026 82 Eastern Ave	Essex	MA	01929-0019	18,526	Essex	Yes	19	15	3,175	28	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
sycamore-land-trust-in	https://findalandtrust.org/land-trusts/explore/sycamore-land-trust-in	Sycamore Land Trust	Sycamore Land Trust	PO Box 7801	Bloomington	IN	47407-7801	10,363	Bartholomew, Brown, Clark, Crawford, Daviess, Dubois, Floyd, Gibson, Greene, Harrison, Jackson, Knox, Lawrence, Martin, Monroe, Morgan, Orange, Owen, Perry, Pike, Posey, Scott, Spencer, Vanderburgh, Warrick, Washington	Yes	14	7	1,300	110	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
friends-of-hopewell-valley-open-space-nj	https://findalandtrust.org/land-trusts/explore/friends-of-hopewell-valley-open-space-nj	Friends of Hopewell Valley Open Space	Friends of Hopewell Valley Open Space	PO Box 395	Pennington	NJ	08534-0395	2,765	Mercer	Yes	14	6	510	177	1991	Public Access|Volunteer Opportunities
north-olympic-land-trust-wa	https://findalandtrust.org/land-trusts/explore/north-olympic-land-trust-wa	North Olympic Land Trust	North Olympic Land Trust	PO Box 2945	Port Angeles	WA	98362-0336	3,687	Clallam	Yes	11	4	715	100	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
eastern-shore-land-conservancy-md	https://findalandtrust.org/land-trusts/explore/eastern-shore-land-conservancy-md	Eastern Shore Land Conservancy	Eastern Shore Land Conservancy	114 S Washington St Ste 101	Easton	MD	21601-2962	62,646	Caroline, Cecil, Dorchester, Kent, Queen Anne's, Talbot	Yes	32	16	1	120	1993	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
piedmont-land-conservancy-nc	https://findalandtrust.org/land-trusts/explore/piedmont-land-conservancy-nc	Piedmont Land Conservancy	Piedmont Land Conservancy	1515 W Cornwallis Rd Ste 205	Greensboro	NC	27408-6334	22,307	Alamance, Caswell, Forsyth, Guilford, Randolph, Rockingham, Stokes, Surry, Yadkin	Yes	17	4	1,000	110	1991	Public Access|Volunteer Opportunities
fairview-lake-watershed-conservation-foundation-ny	https://findalandtrust.org/land-trusts/explore/fairview-lake-watershed-conservation-foundation-ny	Fairview Lake & Watershed Conservation Foundation	Fairview Lake & Watershed Conservation Foundation	7143 State Highway 206	Sidney Center	NY	13839-2105	20	Bergen	Yes					2009	
edison-greenways-group-nj	https://findalandtrust.org/land-trusts/explore/edison-greenways-group-nj	Edison Greenways Group	Edison Greenways Group	2118 Oak Tree Rd	Edison	NJ	08820-1404	64	Middlesex	Yes	8		20	5	1992	Volunteer Opportunities|Wildlife Habitat
inland-northwest-land-conservancy-wa	https://findalandtrust.org/land-trusts/explore/inland-northwest-land-conservancy-wa	Inland Northwest Land Conservancy	Inland Northwest Land Conservancy	35 W Main Ave Ste 210	Spokane	WA	99201-0110	4,892	Bonner, Kootenai	Yes	11	8	634	35	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
central-pennsylvania-conservancy-pa	https://findalandtrust.org/land-trusts/explore/central-pennsylvania-conservancy-pa	Central Pennsylvania Conservancy	Central Pennsylvania Conservancy	401 E Louther St Ste 308	Carlisle	PA	17013-2652	8,976	Cumberland, Dauphin, Franklin, Huntingdon, Juniata, Mifflin, Perry, Snyder	Yes	15	1	1,327	356	1992	Volunteer Opportunities
schoharie-land-trust-inc-ny	https://findalandtrust.org/land-trusts/explore/schoharie-land-trust-inc-ny	Schoharie Land Trust, Inc.	Schoharie Land Trust, Inc.	PO Box 482	Cobleskill	NY	12043-0482	2,936	Montgomery, Schoharie	Yes	14		5		1991	Trails|Public Access|Agricultural Land|Forests|Wildlife Habitat
rockburn-land-trust-md	https://findalandtrust.org/land-trusts/explore/rockburn-land-trust-md	Rockburn Land Trust	Rockburn Land Trust	6560 Belmont Woods Road	Elkridge	MD	21075-5201	124	Baltimore, Howard	Yes	13		80	8	2001	Trails|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
peninsula-open-space-trust-ca	https://findalandtrust.org/land-trusts/explore/peninsula-open-space-trust-ca	Peninsula Open Space Trust	Peninsula Open Space Trust	222 High St	Palo Alto	CA	94301-1040	82,497	San Mateo, Santa Clara, Santa Cruz	Yes	17	50	11,000	150	1982	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
bta-bolt-ma	https://findalandtrust.org/land-trusts/explore/bta-bolt-ma	BTA/BOLT	BTA/BOLT	PO Box 95 7 Elm St	Boxford	MA	01921-0095	1,465	Essex	Yes	17		420	10	1992	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
geneva-lake-conservancy-wi	https://findalandtrust.org/land-trusts/explore/geneva-lake-conservancy-wi	Geneva Lake Conservancy	Geneva Lake Conservancy	PO Box 588	Fontana	WI	53125-0588	2,847	Walworth	Yes	11	4	800	40	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
the-land-conservancy-of-new-jersey-nj	https://findalandtrust.org/land-trusts/explore/the-land-conservancy-of-new-jersey-nj	The Land Conservancy of New Jersey	The Land Conservancy of New Jersey	19 Boonton Ave	Boonton	NJ	07005-8902	28,539	Atlantic, Bergen, Burlington, Camden, Cape May, Cumberland, Essex, Gloucester, Hudson, Hunterdon, Mercer, Middlesex, Monmouth, Morris, Ocean, Passaic, Salem, Somerset, Sussex, Union, Warren	Yes	19	11	80	30	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
grand-traverse-regional-land-conservancy-mi	https://findalandtrust.org/land-trusts/explore/grand-traverse-regional-land-conservancy-mi	Grand Traverse Regional Land Conservancy	Grand Traverse Regional Land Conservancy	3860 North Long Lake Rd Ste D	Traverse City	MI	49684-7204	51,208	Antrim, Benzie, Grand Traverse, Kalkaska, Manistee	Yes	19	26	2,942	180	1984	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
bear-yuba-land-trust-ca	https://findalandtrust.org/land-trusts/explore/bear-yuba-land-trust-ca	Bear Yuba Land Trust	Bear Yuba Land Trust	PO Box 1004	Grass Valley	CA	95945-1004	15,745	Nevada, Placer, Sierra, Yuba	Yes	11	5	831	200	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
the-land-conservancy-of-san-luis-obispo-county-ca	https://findalandtrust.org/land-trusts/explore/the-land-conservancy-of-san-luis-obispo-county-ca	The Land Conservancy of San Luis Obispo County	The Land Conservancy of San Luis Obispo County	PO Box 12206	San Luis Obispo	CA	93406-2206	30,006	Monterey, San Luis Obispo, Santa Barbara	Yes	13	21	1,350	50	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Wildlife Habitat
anza-borrego-foundation-ca	https://findalandtrust.org/land-trusts/explore/anza-borrego-foundation-ca	Anza-Borrego Foundation	Anza-Borrego Foundation	587 Palm Canyon Dr #122	Borrego Springs	CA	92004-4000	50,000	Imperial, Riverside, San Diego	Yes	18	12	566	40	1991	Public Access|Volunteer Opportunities
lancaster-county-conservancy-pa	https://findalandtrust.org/land-trusts/explore/lancaster-county-conservancy-pa	Lancaster Conservancy	Lancaster Conservancy	117 S West End Ave	Lancaster	PA	17603-3396	8,889	Lancaster, Lebanon, York	Yes	18	18	10,000	350	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
tamalpais-conservation-club-ca	https://findalandtrust.org/land-trusts/explore/tamalpais-conservation-club-ca	Tamalpais Conservation Club	Tamalpais Conservation Club	PO Box 532	Ross	CA	94957-0532	0	Marin	Yes	7		600	10	1992	Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
sakonnet-preservation-association-ri	https://findalandtrust.org/land-trusts/explore/sakonnet-preservation-association-ri	Sakonnet Preservation Association	Sakonnet Preservation Association	PO Box 945 7 South of Commons	Little Compton	RI	02837-0945	466	Newport	Yes	14		368	29	2000	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
maine-wilderness-watershed-trust-me	https://findalandtrust.org/land-trusts/explore/maine-wilderness-watershed-trust-me	Pierce Pond Watershed Trust	Pierce Pond Watershed Trust	PO Box 5660	Augusta	ME	04332-5660	11,228	Somerset	Yes	21		450	30	1991	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
monmouth-conservation-foundation-nj	https://findalandtrust.org/land-trusts/explore/monmouth-conservation-foundation-nj	Monmouth Conservation Foundation	Monmouth Conservation Foundation	PO Box 4150	Middletown	NJ	07748-4150	13,107	Monmouth	Yes	28	4	400	3	2000	Volunteer Opportunities|Forests|Wildlife Habitat
indian-river-land-trust-fl	https://findalandtrust.org/land-trusts/explore/indian-river-land-trust-fl	Indian River Land Trust	Indian River Land Trust	80 Royal Palm Pt Ste 301	Vero Beach	FL	32960-4228	1,165	Indian River	Yes	20	5	845	50	2001	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
clearwater-conservancy-pa	https://findalandtrust.org/land-trusts/explore/clearwater-conservancy-pa	ClearWater Conservancy	ClearWater Conservancy	2555 N Atherton St	State College	PA	16803-1133	7,089	Centre, Clearfield, Huntingdon, Mifflin	Yes	16	6	1,000	700	1989	Public Access|Volunteer Opportunities
the-trustees-of-reservations-ma	https://findalandtrust.org/land-trusts/explore/the-trustees-of-reservations-ma	The Trustees of Reservations	The Trustees of Reservations	200 High Street, 4th Floor	Boston	MA	02110-3036	610	Litchfield	Yes	24	230	140,000	1,741	1998	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
attleboro-land-trust-ma	https://findalandtrust.org/land-trusts/explore/attleboro-land-trust-ma	Attleboro Land Trust	Attleboro Land Trust	PO Box 453	Attleboro	MA	02703-0008	692	Bristol	Yes	15		100		2002	Public Access
tecumseh-land-trust-oh	https://findalandtrust.org/land-trusts/explore/tecumseh-land-trust-oh	Tecumseh Land Trust	Tecumseh Land Trust	PO Box 417	Yellow Springs	OH	45387-0417	32,157	Clark, Greene	Yes	14	4	450	75	1990	Volunteer Opportunities|Agricultural Land|Wildlife Habitat
estes-valley-land-trust-co	https://findalandtrust.org/land-trusts/explore/estes-valley-land-trust-co	Estes Valley Land Trust	Estes Valley Land Trust	PO Box 663	Estes Park	CO	80517-0663	9,921	Boulder, Larimer	Yes	11	2	450	100	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mountain-area-land-trust-co	https://findalandtrust.org/land-trusts/explore/mountain-area-land-trust-co	Mountain Area Land Trust	Mountain Area Land Trust	908 Nob Hill Rd Suite 200	Evergreen	CO	80439-7885	23,483	Boulder, Clear Creek, Gilpin, Jefferson, Park, Teller	Yes	14	3	1,718	30	1994	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
tall-timbers-research-station-land-conservancy-fl	https://findalandtrust.org/land-trusts/explore/tall-timbers-research-station-land-conservancy-fl	Tall Timbers Research Station & Land Conservancy	Tall Timbers Research Station & Land Conservancy	13093 Henry Beadel Dr	Tallahassee	FL	32312-0918	67,727	Gadsden, Jefferson, Leon, Madison, Taylor	Yes	20	7	600	50	2000	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
flathead-land-trust-mt	https://findalandtrust.org/land-trusts/explore/flathead-land-trust-mt	Flathead Land Trust	Flathead Land Trust	PO Box 1913	Kalispell	MT	59903-1913	16,164	Flathead, Lake, Missoula, Sanders	Yes	9	2	400	15	1983	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
watertown-land-trust-inc-ct	https://findalandtrust.org/land-trusts/explore/watertown-land-trust-inc-ct	Watertown Land Trust, Inc.	Watertown Land Trust, Inc.	PO Box 382	Watertown	CT	06795-0382	284	Litchfield	Yes	12		200	25	2004	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
mohonk-preserve-ny	https://findalandtrust.org/land-trusts/explore/mohonk-preserve-ny	Mohonk Preserve	Mohonk Preserve	PO Box 715	New Paltz	NY	12561-0715	8,203	Ulster	Yes	20	35	19,000	350	2005	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
northcentral-pennsylvania-conservancy-pa	https://findalandtrust.org/land-trusts/explore/northcentral-pennsylvania-conservancy-pa	Northcentral Pennsylvania Conservancy	Northcentral Pennsylvania Conservancy	PO Box 2083	Williamsport	PA	17703-2083	11,705	Bradford, Centre, Clinton, Columbia, Lycoming, Montour, Northumberland, Potter, Snyder, Sullivan, Tioga, Union	Yes	12	1	380	8	1990	Volunteer Opportunities
kennebec-estuary-land-trust-me	https://findalandtrust.org/land-trusts/explore/kennebec-estuary-land-trust-me	Kennebec Estuary Land Trust	Kennebec Estuary Land Trust	92 Front Street	Bath	ME	04530-2607	3,882	Sagadahoc	Yes	15	6	750	205	1990	Public Access|Volunteer Opportunities
mckenzie-river-trust-or	https://findalandtrust.org/land-trusts/explore/mckenzie-river-trust-or	McKenzie River Trust	McKenzie River Trust	120 Shelton McMurphey Blvd Ste 270	Eugene	OR	97401-8718	7,057	Benton, Douglas, Lane, Lincoln, Linn	Yes	15	12	2,456	855	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
solano-land-trust-ca	https://findalandtrust.org/land-trusts/explore/solano-land-trust-ca	Solano Land Trust	Solano Land Trust	700 Main St Ste 210	Suisun City	CA	94585-2494	25,052	Solano	Yes	13	15	650	150	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
openlands-il	https://findalandtrust.org/land-trusts/explore/openlands-il	Openlands	Openlands	25 E Washington St Ste 1650	Chicago	IL	60602-1805	16,894	Adams, Alexander, Bond, Boone, Brown, Bureau, Calhoun, Carroll, Cass, Champaign, Christian, Clark, Clay, Clinton, Coles, Cook, Crawford, Cumberland, DeKalb, De Witt, Douglas, DuPage, Edgar, Edwards, Effingham, Fayette, Ford, Franklin, Fulton, Gallatin, Greene, Grundy, Hamilton, Hancock, Hardin, Henderson, Henry, Iroquois, Jackson, Jasper, Jefferson, Jersey, Jo Daviess, Johnson, Kane, Kankakee, Kendall, Knox, Lake, La Salle, Lawrence, Lee, Livingston, Logan, McDonough, McHenry, McLean, Macon, Macoupin, Madison, Marion, Marshall, Mason, Massac, Menard, Mercer, Monroe, Montgomery, Morgan, Moultrie, Ogle, Peoria, Perry, Piatt, Pike, Pope, Pulaski, Putnam, Randolph, Richland, Rock Island, St. Clair, Saline, Sangamon, Schuyler, Scott, Shelby, Stark, Stephenson, Tazewell, Union, Vermilion, Wabash, Warren, Washington, Wayne, White, Whiteside, Will, Williamson	Yes	31	25	4,000	2,500	1983	Public Access|Volunteer Opportunities
national-park-trust-md	https://findalandtrust.org/land-trusts/explore/national-park-trust-md	National Park Trust	National Park Trust	401 E Jefferson St Ste 207	Rockville	MD	20850-2627	25,256		Yes	24	12	658	1,800	2000	Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
williamstown-rural-lands-foundation-ma	https://findalandtrust.org/land-trusts/explore/williamstown-rural-lands-foundation-ma	Williamstown Rural Lands Foundation	Williamstown Rural Lands Foundation	671 Cold Spring Rd	Williamstown	MA	01267-2725	869	Berkshire	Yes	18	2	370	10	2000	Public Access|Volunteer Opportunities
salisbury-association-inc-ct	https://findalandtrust.org/land-trusts/explore/salisbury-association-inc-ct	Salisbury Association, Inc.	Salisbury Association, Inc.	PO Box 553 24 Main St	Salisbury	CT	06068-0553	3,576	Litchfield	Yes	16		400	15	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
chocorua-lake-conservancy-nh	https://findalandtrust.org/land-trusts/explore/chocorua-lake-conservancy-nh	Chocorua Lake Conservancy	Chocorua Lake Conservancy	PO Box 105	Chocorua	NH	03817-0105	2,960	Carroll	Yes	9	1	355	40	1989	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
aquidneck-land-trust-ri	https://findalandtrust.org/land-trusts/explore/aquidneck-land-trust-ri	Aquidneck Land Trust	Aquidneck Land Trust	790 Aquidneck Ave	Middletown	RI	02842-7271	2,899	Newport	Yes	18	6	1,300	100	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
spartanburg-area-conservancy-sc	https://findalandtrust.org/land-trusts/explore/spartanburg-area-conservancy-sc	Spartanburg Area Conservancy	Spartanburg Area Conservancy	100 E Main St Ste 7	Spartanburg	SC	29306-5174	5,156	Spartanburg	Yes	21	1	350	100	1990	Volunteer Opportunities
elkhorn-slough-foundation-ca	https://findalandtrust.org/land-trusts/explore/elkhorn-slough-foundation-ca	Elkhorn Slough Foundation	Elkhorn Slough Foundation	PO Box 267	Moss Landing	CA	95039-0267	4,181	Monterey	Yes	13	23	975	100	1986	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
block-island-conservancy-ri	https://findalandtrust.org/land-trusts/explore/block-island-conservancy-ri	Block Island Conservancy	Block Island Conservancy	PO Box 84	Block Island	RI	02807-0084	235	Washington	Yes	13		500		1998	Trails|Public Access|Wildlife Habitat
newton-conservators-inc-ma	https://findalandtrust.org/land-trusts/explore/newton-conservators-inc-ma	Newton Conservators, Inc.	Newton Conservators, Inc.	PO Box 590011	Newton	MA	02459-0008	85	Middlesex	Yes	25		500	30	1986	Public Access|Volunteer Opportunities
willistown-conservation-trust-pa	https://findalandtrust.org/land-trusts/explore/willistown-conservation-trust-pa	Willistown Conservation Trust	Willistown Conservation Trust	925 Providence Rd	Newtown Square	PA	19073-1205	2,830	Chester, Delaware	Yes	22	25	3,000	395	1995	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
heritage-conservancy-pa	https://findalandtrust.org/land-trusts/explore/heritage-conservancy-pa	Heritage Conservancy	Heritage Conservancy	85 Old Dublin Pike	Doylestown	PA	18901-2468	14,217	Bucks, Chester, Montgomery, Northampton, Susquehanna, York	Yes	19	16	1,200	412	1991	Public Access|Volunteer Opportunities
richmond-land-trust-vt	https://findalandtrust.org/land-trusts/explore/richmond-land-trust-vt	Richmond Land Trust	Richmond Land Trust	PO Box 605	Richmond	VT	05477-0605	839	Chittenden, Chittenden	Yes					1999	
chautauqua-watershed-conservancy-ny	https://findalandtrust.org/land-trusts/explore/chautauqua-watershed-conservancy-ny	Chautauqua Watershed Conservancy	Chautauqua Watershed Conservancy	PO Box 45 71 East Fairmount Avenue	Lakewood	NY	14750-0045	1,087	Chautauqua	Yes	15	7	1,200	112	1992	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
appalachian-trail-conservancy-wv	https://findalandtrust.org/land-trusts/explore/appalachian-trail-conservancy-wv	Appalachian Trail Conservancy	Appalachian Trail Conservancy	PO Box 807	Harpers Ferry	WV	25425-0807	128,795		Yes	13	55	60,000	6,000	1999	Public Access|Volunteer Opportunities
palmer-land-conservancy-co	https://findalandtrust.org/land-trusts/explore/palmer-land-conservancy-co	Palmer Land Conservancy	Palmer Land Conservancy	102 S Tejon St Ste 360	Colorado Springs	CO	80903-2268	138,474	Crowley, Custer, El Paso, Fremont, Huerfano, Las Animas, Otero, Park, Pueblo, Teller	Yes	15	12	376		1991	Trails|Public Access|Agricultural Land|Forests|Wildlife Habitat
the-land-trust-for-santa-barbara-county-ca	https://findalandtrust.org/land-trusts/explore/the-land-trust-for-santa-barbara-county-ca	The Land Trust for Santa Barbara County	The Land Trust for Santa Barbara County	PO Box 91830	Santa Barbara	CA	93190-1830	27,461	Santa Barbara	Yes	15	9	1,100	515	1985	Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
roxbury-land-trust-ct	https://findalandtrust.org/land-trusts/explore/roxbury-land-trust-ct	Roxbury Land Trust	Roxbury Land Trust	PO Box 51	Roxbury	CT	06783-0051	3,865	Litchfield	Yes	23	1	400	20	2003	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
